State	Date	Action Taken
Indiana	2020/10/1	 On Sept. 30, Gov. Eric Holcomb issued an executive order extending a rule allowing medical professionals whose licenses have expired, or those who are licensed in other states, to get temporary medical licenses to practice in Indiana.
Indiana	2020/10/14	 On Wednesday, Oct. 14, Gov. Eric Holcomb (R) announced that the state would stay in Stage 5 of reopening for another month and that the statewide mask mandate would continue.
Indiana	2020/10/22	 Gov. Eric Holcomb (R) announced an extension of the state’s mask mandate for “the foreseeable future.” Holcomb also said the state would remain in Stage 5 of its reopening plan.
Indiana	2020/11/17	 On Wednesday, Nov. 11, Gov. Eric Holcomb (R) announced that county-level coronavirus restrictions would go into effect on Nov. 15. For counties in the state’s orange level of concern, gatherings are limited to 50 people, and large events need the approval of the local health department. Gatherings in counties classified as “red” are limited to 25 people.
Indiana	2020/12/2	 On Tuesday, Dec. 2, Gov. Eric Holcomb issued an executive order extending the public health emergency related to the coronavirus through the end of December.
Indiana	2020/12/10	 On Wednesday, Dec. 9, Gov. Eric Holcomb (R) announced hospitals must postpone non-emergency elective procedures for three weeks. Holcomb also said new limits on gatherings will begin this weekend based on the state’s color-coded, county-level map of COVID-19 spread. Counties classified as “red,” with the highest level of spread, will be limited to gatherings no larger than 25 people. Counties classified as “orange,” “yellow,” and “blue,” will face limits on gatherings of 50, 100, and 250, respectively.
Indiana	2020/12/14	 On Friday, Dec. 11, Gov. Eric Holcomb (R) directed hospitals to postpone non-urgent surgeries to free up space for patients dealing with COVID-19 beginning Wednesday, Dec. 16.
Indiana	2020/12/30	 On Dec. 23, Gov. Eric Holcomb (R) extended an order that temporarily allows healthcare students and out-of-state healthcare professionals to work in Indiana without a state license.
Indiana	2021/1/4	 On Thursday, Dec. 31, Gov. Eric Holcomb (R) extended the coronavirus public health emergency another 30 days.
Indiana	2021/1/6	 Gov. Eric Holcomb (R) is lifting the Dec. 16 ban on non-emergency, elective surgeries on Jan. 6.
Indiana	2021/1/7	 On Wednesday, Jan. 6, the Department of Health added 10 counties to the red category of its county infection map, bringing the total number of counties in the highest risk category of COVID-19 spread to 57. Red indicates that the 7-day positivity rate for tests is 15% or greater and that weekly coronavirus cases are growing at 200 or more new cases per 100,000 residents. The remaining 35 counties are classified as yellow, the next highest risk classification.
Indiana	2021/1/14	 On Wednesday, Jan. 13, Gov. Eric Holcomb (R) announced that people age 70 and older can now register to receive a COVID-19 vaccine. Previously, vaccines were reserved for those 80 and older.
Indiana	2021/1/25	 On Friday, Jan. 22, Gov. Eric Holcomb (R) extended current coronavirus restrictions through Jan. 31. Restrictions include mask requirements and capacity limits at recreational, collegiate, and professional sporting events.
Indiana	2021/1/28	 On Wednesday, Jan. 27, Gov. Eric Holcomb (R) announced he would issue an order changing statewide gathering limits. Instead of being based on an absolute number, gathering limits in counties designated red and orange will be limited to 25% of each building’s capacity, while the limit in yellow counties will be 50%. Buildings in blue counties will not have a gathering limit. Holcomb said the order would be in effect between Feb. 1 and Feb. 28.
Indiana	2021/1/29	 On Thursday, Jan. 28, Gov. Eric Holcomb (R) extended the coronavirus public health emergency an additional 30 days.
Indiana	2021/2/2	 On Feb. 1, people 65 and older became eligible to receive the coronavirus vaccines. The state will next expand eligibility to people 60 to 64, though it has not said when that will happen.
Indiana	2021/2/8	 New quarantine rules for schools take effect Feb. 8. The new rules allow teachers and students exposed to someone with the virus to forgo a 14-day quarantine if they were at least three feet apart and wore a face covering.
Indiana	2021/2/10	 On Tuesday, Feb. 9, the state House voted 69-27 to prohibit the governor from placing restrictions on houses of worship during states of emergency. Republicans hold a 71-29 majority in the chamber, and three voted against the bill. Four Democrats sided with Republicans to vote in favor of it. The bill would also prohibit local health authorities from imposing regulations that exceed those established by the state unless approved by local elected officials. The Senate will next take up the bill.
Indiana	2021/2/11	 On Wednesday, Feb. 10, Chief Medical Officer Lindsay Weaver announced that residents aged 60 to 65 would be next in line for vaccination, though she did not specify when that group would become eligible.
Indiana	2021/2/19	 On Thursday, Feb. 18, Gov. Eric Holcomb (R) signed a bill making it harder for individuals to sue businesses, hospitals, schools, and nursing homes for exposing them to COVID-19. Under the law, individuals who think they were exposed to COVID-19 at one of these locations must provide evidence of “gross negligence or willful or wanton misconduct.”
Indiana	2021/2/23	 On Tuesday, Feb. 23, residents aged 60 and above became eligible for a coronavirus vaccine.
Indiana	2021/2/25	 On Wednesday, Feb. 25, Gov. Eric Holcomb (R) extended an executive order that ties coronavirus restrictions to county-level COVID-19 spread. The order is set to expire Feb. 28 and will be extended 30 days. Holcomb also said he would extend the coronavirus public health emergency, which is set to expire Feb. 29, an additional 30 days.
Indiana	2021/3/2	 The state Department of Health announced Tuesday, March 2, that people age 55 and older are now eligible to get coronavirus vaccines.
Indiana	2021/3/4	 On Wednesday, March 3, Gov. Eric Holcomb (R) announced that residents 50 and older are eligible to receive a coronavirus vaccine.
Indiana	2021/3/22	 On Saturday, March 20, the Indiana State Department of Health announced that residents 40 and older can receive a coronavirus vaccine starting March 22.
Indiana	2021/3/29	 Effective March 29, residents 30 and older are eligible to receive a coronavirus vaccine.
Indiana	2021/3/31	 All residents 16 and older are eligible to receive a coronavirus vaccine March 31.
Indiana	2021/4/6	 Gov. Eric Holcomb (R) ended the statewide mask mandate on April 6. Holcomb said local officials could still enact stricter restrictions, and masks will still be required in schools.
Indiana	2021/4/9	 On Thursday, April 8, the Indiana state Senate voted 36-10 to pass Senate Bill 263, which says “The state, a political subdivision, or an officer or employee of the state or a political subdivision may not restrict the right of the people to worship or to worship in person during a disaster emergency.” The bill does allow governments to require houses of worship to comply with generally applicable laws that are no more restrictive than those other organizations and businesses are required to follow. Senate Bill 263 passed the House 74-20 on April 6 and now goes to Gov. Eric Holcolmb (R) to sign or veto.
Indiana	2021/4/12	 On Friday, April 9, Gov. Eric Holcomb (R) vetoed House Bill 1123, which would allow the legislature to call a special session during a state of emergency. Holcomb said he vetoed the bill because the Indiana Constitution gives the governor the sole authority to convene special sessions. The House passed the bill 64-33 on April 5, and the Senate passed the bill 37-10 the same day. The legislature can override Holcomb’s veto with simple majorities in both chambers.
Indiana	2021/4/15	 On Thursday, April 15, the Indiana House of Representatives voted 59-26 to override Gov. Eric Holcomb’s (R) veto of House Bill 1123. The bill would allow the legislature to call a special session during a state of emergency. Holcomb vetoed the bill on April 9, saying the Indiana Constitution gives the governor the sole authority to convene a special session. The House first passed the bill 64-33 on April 5, and the Senate passed it 37-10 the same day. It now goes to the Senate for a veto override vote.
Indiana	2021/4/16	 On Thursday, April 15, the Indiana Senate voted 36-8 to override Gov. Eric Holcomb’s (R) veto of House Bill 1123, hours after the House voted 59-26 to do the same. The bill now becomes law. House Bill 1123 allows the legislature to call a special session during an emergency. Holcomb said he vetoed the bill because the Indiana Constitution gives the governor the sole authority to convene special sessions of the legislature
Indiana	2021/4/23	 On Thursday, April 22, the legislature passedHouse Bill 1405, which includes language prohibiting state and local government agencies from requiring anyone, including employees, to show proof of vaccination. The bill does not prohibit agencies from keeping immunization records and does not apply to private companies or public schools. The House passed the bill 88-10, while the Senate passed it 48-1. It now goes to Gov. Eric Holcomb (R).
Indiana	2021/4/28	 On Tuesday, April 27, Gov. Eric Holcomb (R) filed a lawsuit asking a judge to block House Bill 1123, which allows the legislature to call a special session during an emergency. Holcomb vetoed the bill on April 12, arguing the Indiana Constitution permits only the governor to call a special legislative session, but both chambers of the legislature voted successfully on April 16 to override the veto. Holcomb named Sen. Rodric Bray (R), the president pro tempore of the Indiana State Senate, and Rep. Huston (R), the speaker of the house, as defendants in the lawsuit.
Indiana	2021/4/30	 On Thursday, April 29, Gov. Eric Holcomb (R) extended the statewide COVID-19 state of emergency through May 31.
Indiana	2021/5/3	 On Friday, April 30, Gov. Eric Holcomb (R) extended the coronavirus emergency through May 31.
Indiana	2021/5/5	 On Tuesday, Gov. Eric Holcomb (R) vetoedSenate Bill 5, which would require county commissioners or city councils to approve local public health orders that impose additional restrictions to health orders issued by the governor. The House and Senate passed the bill 65-29 and 37-12, respectively, on April 21. The legislature can override Holcomb’s veto with a majority vote in both chambers.
Indiana	2021/5/10	 On Friday, May 7, Gov. Eric Holcomb (R) announced he would issue an order requiring people receiving state unemployment benefits to once again provide proof they are actively seeking work. Holcomb waived the work requirement in March 2020.
Indiana	2021/5/12	 On Tuesday, May 11, Gov. Eric Holcomb (R) issued an order reinstating the requirement that people on unemployment insurance submit weekly reports showing they’ve been actively looking for work. The requirement takes effect June 1. Holcomb waived the job search requirement at the start of the pandemic.
Indiana	2021/5/17	 On May 17, Gov. Eric Holcomb (R) announced the state will end its participation in federal pandemic unemployment programs on June 19.
Indiana	2021/5/27	 On Wednesday, May 26, Gov. Eric Holcomb (R) announced state employees will be required to return to the office by July 6. Holcomb said agency heads and supervisors will return June 7, while other employees should spend at least 50% of their time in the office by June 21.
Indiana	2021/6/21	 The state stopped participating in pandemic-related federal unemployment benefit programs on June 19. Gov. Eric Holcomb (R) made the announcement May 17.
Indiana	2021/6/28	 On Friday, June 25, Marion Superior Court Judge John Haley temporarily halted Gov. Eric Holcomb’s (R) decision to end the state’s participation in federal pandemic unemployment programs. Holcomb announced in May the state would stop participating in the programs on June 19, prompting a lawsuit that argued Indiana law requires the state to participate in federal unemployment insurance programs. Holcomb said he would discuss appealing Haley’s ruling with state Attorney General Todd Rokita (R).
Indiana	2021/7/1	 On Wednesday, June 30, Gov. Eric Holcomb (R) extended the statewide COVID-19 emergency through July 30.
Indiana	2021/7/13	 On Monday, July 12, the Indiana Court of Appeals ruled the state must comply with Superior Court Judge John Hanley’s June 25 emergency order to resume participation in federal pandemic unemployment programs. Gov. Eric Holcomb (R) ended the state’s participation in those programs on June 19.
Indiana	2021/7/20	 On Monday, July 19, U.S. District Court for the Northern District of Indiana Judge Damon Leichty upheld the University of Indiana's vaccination requirement for the fall semester. Eight students sued the University, arguing the requirement to get a COVID-19 vaccine violated their 14th Amendment rights. According to the University policy, students who don’t get vaccinated “can see their class registration cancelled, CrimsonCard access terminated, access to IU systems (Canvas, email, etc.) terminated, and will not be allowed to participate in any on-campus activity.”
Indiana	2021/8/3	 On Friday, July 30, Gov. Eric Holcomb (R) extended the statewide COVID-19 public health emergency through Aug. 31.
Iowa	2020/5/22	 Effective May 22, the following businesses are allowed to resume operations: movie theaters (at 50% capacity); museums, aquariums, and zoos; swimming pools; and wedding reception venues.
Iowa	2020/5/28	 Effective May 28, bars and other alcohol-related establishments are permitted to reopen at 50 percent capacity. Earlier this week, Gov. Kim Reynolds (R) announced that the following businesses would be allowed to reopen at 50% capacity effective June 1: outdoor performance venues, casinos, bowling alleys, amusement parks, skating rinks, skate parks, and outdoor playgrounds.
Iowa	2020/6/1	 On June 1, outdoor performance venues, casinos, bowling alleys, amusement parks, skating rinks, skate parks, and outdoor playgrounds are allowed to reopen at 50% capacity. Summer school activities, including baseball and softball, are also allowed to resume.
Iowa	2020/6/26	 The Iowa Department of Education announced that schools would be allowed to reopen beginning July 1. Officials announced there would be no requirement for students or staff to wear face coverings, undergo health checks, or social distance.
Iowa	2020/7/20	 On July 17, Gov. Kim Reynolds (R) ordered that students spend at least half of their schooling time in-person. She said districts could seek waivers to the requirement from the state Department of Education. Des Moines, the state’s largest district, had previously announced one day of in-person instruction for students each week.
Iowa	2020/7/24	 Gov. Kim Reynolds (R) extended the state’s public health emergency for 30 days to Aug. 23. Reynolds did not add any new restrictions as part of the extension.
Iowa	2020/7/31	 Gov. Kim Reynolds (R) set requirements for public schools to seek a state waiver allowing them to provide online-only education. A school must have at least a 15% positive test rate in its county and a 10% absentee rate among students. Schools in counties with a 20% or higher positive test rate do not need to meet the absentee rate requirement. The waiver would allow a school to operate fully online for two weeks before re-applying for the waiver.
Iowa	2020/8/4	 Gov. Kim Reynolds (R) announced the state would not count any remote-learning days towards required instructional time for schools that did not offer at least 50% in-person instruction.
Iowa	2020/8/19	 The Iowa State Education Association and the Iowa City Community School District announced that they were filing a lawsuit against the state. The lawsuit argues that local districts and their boards of directors should be able to make decisions about reopening schools.
Iowa	2020/8/21	 Gov. Kim Reynolds (R) announced that schools suffering storm damage from the Aug. 11 derecho will be allowed to use primarily remote learning to begin the 2020-2021 school year. Previously, only schools with a 15% coronavirus positivity rate or 10% absenteeism were allowed to primarily use remote learning.
Iowa	2020/8/27	 Gov. Kim Reynolds (R) closed bars, nightclubs, and breweries in Polk, Linn, Johnson, Story, Dallas, and Black Hawk counties through at least Sept. 5. Reynolds cited high positive test rates among young adults in those counties, which are home to the state’s major universities.
Iowa	2020/9/2	 Gov. Kim Reynolds (R) announced the reopening of the Iowa Small Business Relief Program for bars closed in six counties by Reynolds’ executive order last week. Affected businesses may be eligible for a one-time $10,000 grant.
Iowa	2020/9/11	 Gov. Kim Reynolds (R) announced that schools opting for fully virtual instruction were not allowed to have in-person activities. “If students can’t be in school safely it makes no sense to have in-person extracurricular activities,” Reynolds said. Des Moines Public Schools, the state’s largest district, began fully virtual instruction this week without seeking the required waiver from the state.
Iowa	2020/9/16	 Gov. Kim Reynolds (R) announced that bars could reopen in Black Hawk, Dallas, Linn, and Polk counties. On Aug. 27, Reynolds closed bars and prohibited restaurants from serving alcohol past 10 p.m. in those counties.
Iowa	2020/9/21	 On Sept. 18, Gov. Kim Reynolds (R) extended the bar closures in Johnson and Story counties through Sept. 27. Those counties are home to the state’s two largest universities—the University of Iowa and Iowa State University.
Iowa	2020/9/29	 On Sept. 29, Gov. Kim Reynolds (R) announced that workers and children in daycares and schools no longer need to quarantine if they come into contact with a person with COVID-19 while wearing a mask. According to the guidance, only the infected individual with COVID-19 will need to quarantine.
Iowa	2020/10/5	 On Friday, Oct. 2, Gov. Kim Reynolds (R) issued an order easing restrictions on bars, breweries, wineries, and distilleries in Johnson and Story counties. Breweries, wineries, and distilleries were permitted to reopen at 5 p.m. Friday, while bars were permitted to reopen on Monday, Oct. 5. Reynolds closed bars in six counties in August, but allowed most to reopen in September. Bars, breweries, wineries, and distilleries in Johnson and Story counties must enforce social-distancing rules in order to reopen.
Iowa	2020/10/9	 On Friday, Oct. 9, Gov. Kim Reynolds (R) announced the launch of the Residential Utility Disruption Prevention Program. The program will provide up to $2,000 to low-income families to help pay utility bills.
Iowa	2020/10/19	 On Friday, Oct. 16, Gov. Kim Reynolds (R) signed an order extending the statewide emergency through Nov. 15. The emergency order includes the state’s COVID-19 restrictions, including a new provision requiring bars and restaurants to keep customers seated and to maintain 6 feet of distance between groups.
Iowa	2020/10/27	 On Thursday, Oct. 29, Gov. Kim Reynolds (R) announced $2 million in CARES Act funding to support the development of a nanovaccine. The University of Iowa and Iowa State University are spearheading the initiative.
Iowa	2020/10/30	 On Monday, Oct. 26, Gov. Kim Reynolds (R) announced the Iowa County Fairs Relief Program, a $6 million initiative that will provide financial support to eligible county and district fairs.
Iowa	2020/11/12	 On Tuesday, Nov. 10, Gov. Kim Reynolds (R) announced she was extending the public health emergency for 30 days and prohibiting indoor gatherings of more than 25 people unless everyone older than two wears a mask. Additionally, face coverings will be required at businesses like barbershops and tattoo parlors. Several types of businesses, including bars, restaurants, and arcades, must ensure six feet of distance between individuals or groups.
Iowa	2020/11/17	 On Nov. 16, Gov. Kim Reynolds (R) announced an indoor face-covering requirement for all individuals over the age of two in public spaces where social distancing isn’t possible. Reynolds also announced that indoor gatherings will be limited to 15 people, while outdoor gatherings will be limited to 30.
Iowa	2020/11/19	 On Wednesday, Nov. 18, Gov. Kim Reynolds (R) issued an executive order banning recreational activities and sports, including those conducted at fitness centers or gyms, that do not allow participants to stay six feet apart at all times. The order requires all participants to wear a mask and limits spectators to two per athlete. The order does not apply to high school, collegiate, or professional sports.
Iowa	2020/11/20	 On Thursday, Nov. 19, Gov. Kim Reynolds (R) announced she would allocate $14 million in federal CARES Act funding to assist long-term care facilities with testing and staffing.
Iowa	2020/12/10	 On Wednesday, Dec. 9, Gov. Kim Reynolds (R) announced she was extending statewide coronavirus restrictions, including the requirement that people wear a face mask when in indoor public spaces, through Dec. 16.
Iowa	2020/12/15	 On Monday, Dec. 14, Gov. Kim Reynolds (R) announced the state would return $21 million in federal CARES Act funding after an audit revealed the money was not spent on the public health emergency.
Iowa	2020/12/17	 On Wednesday, Dec. 16, Gov. Kim Reynolds (R) announced she was loosening restrictions on some businesses and activities. Under the new rules, bars and restaurants can resume normal hours. Additionally, students participating in high school recreational activities can now invite members of their household to watch. The new restrictions take effect Thursday, Dec. 17.
Iowa	2021/1/8	 On Thursday, Jan. 7, Gov. Kim Reynolds (R) issued an order lifting spectator limits on sporting and recreational events, including high school sports. The order also extended some restrictions, such as requiring people to wear masks when social distancing isn’t possible, through Feb. 6.
Iowa	2021/1/11	 On Friday, Jan. 8, Gov. Kim Reynolds (R) ended limits on the number of spectators at high school sports and recreational events. Previously, no more than two spectators were allowed per athlete.
Iowa	2021/1/22	 On Thursday, Jan. 21, Gov. Kim Reynolds (R) announced that people 65 and older will become eligible for the coronavirus vaccine on Feb. 1.
Iowa	2021/2/1	 On Friday, Jan. 29, Gov. Kim Reynolds (R) signed a bill requiring school districts to provide students in-person instruction five days a week. Under the law, parents can still request a hybrid or all remote option for their children, and schools can request a waiver from the Department of Education based on factors such as the number of teachers quarantining because of the virus. According to the bill, which passed the state House and Senate with the support of all Republicans and one Democrat, schools have until Feb. 15 to offer full-time in-person instruction.
Iowa	2021/2/8	 On Friday, Feb. 5, Gov. Kim Reynolds (R) issued an order easing coronavirus restrictions. The order lifts the statewide mask mandate and limits on indoor and outdoor gatherings. The order encourages people 65 and older to limit activities outside the home.
Iowa	2021/2/16	 On Feb. 15, schools were required to offer full-time in-person instruction. Legislation Gov. Kim Reynolds (R) signed on Jan. 29 requires schools to open but also allows parents to request a hybrid or all remote option for their children. Additionally, schools can request a waiver from the requirement to provide in-person instruction from the state Department of Education based on factors such as the number of teachers quarantining because of the virus. The bill passed the state House and Senate with the support of all Republicans and one Democrat.
Iowa	2021/3/8	 On Friday, March 5, Gov. Kim Reynolds (R) issued a proclamation that allows dentists to resume providing all dental services if the practice complies with the Iowa Dental Board’s guidance. The practice must also have an inventory of personal protective equipment. The proclamation is scheduled to remain in effect through April 4.
Iowa	2021/4/5	 Effective Monday, April 5, residents 16 and older are eligible to receive a coronavirus vaccine.
Iowa	2021/5/3	 On Friday, April 30, Gov. Kim Reynolds (R) extended the statewide coronavirus emergency through May 30.
Iowa	2021/5/6	 On Wednesday, the Iowa Senate passed House File 889 by a 32-16 vote. The bill would prohibit state and local government agencies from putting vaccine status on government-issued identification cards. The bill would also prohibit state and local governments from asking people about their vaccine status as a condition of entering government buildings. The House passed the bill 58-35 on April 28. It now goes to Gov. Kim Reynolds (R).
Iowa	2021/5/11	 Gov. Kim Reynolds (R) announced the state will stop participating in pandemic-related federal unemployment benefit programs starting June 12. Iowa is one of seven states that have announced federal benefits will end by June 30 or earlier.
Iowa	2021/5/20	 On Thursday, May 20, Gov. Kim Reynolds (R) signed a law prohibiting public schools, cities, and counties from issuing mask mandates. The Iowa House of Representatives passed House File 847 53-35 on May 19, while the Senate passed it 29-17 on the same day.
Iowa	2021/6/14	 The state ended its participation in pandemic-related federal unemployment benefit programs June 12. Gov. Kim Reynolds (R) made the announcement May 10.
Iowa	2021/6/28	 On Friday, June 25, Gov. Kim Reynolds (R) extendedthe statewide public health emergency an additional 30 days.
Kansas	2020/4/30	 Gov. Laura Kelly (D) was expected to announce reopening plans at 6:30 p.m. Thursday. The state’s stay-at-home order is scheduled to expire at midnight on May 3. Kansas is under divided government, with a Democratic governor and Republican majorities in both chambers of the state legislature.
Kansas	2020/5/4	 In Kansas, Phase 1 of the Gov. Laura Kelly's (D) reopening plan began Monday, when most businesses can reopen if they adhere to certain guidelines. The following businesses were excluded: bars and night clubs; casinos (non-tribal); theaters, museums, and other indoor leisure spaces; fitness centers and gyms; and nail salons, barber shops, and other personal service businesses. Kansas is under divided government, with a Democratic governor and Republican majorities in the state House and Senate.
Kansas	2020/5/18	 The following businesses were allowed to reopen on May 18: personal service businesses by appointment only (e.g., nail salons, barber shops, and tattoo parlors), gyms, and fitness centers. Gatherings of more than 10 individuals remain prohibited. The following businesses must remain closed: bars and nightclubs; non-tribal casinos; theaters; museums; indoor leisure spaces; community centers; outdoor and indoor large entertainment venues; fairs, festivals, carnivals, and parades; swimming pools; organized sports facilities; and summer camps.
Kansas	2020/5/22	 The second phase of the state's reopening took effect on May 22. The following businesses are allowed to reopen: recreational organized sports facilities; community centers; indoor leisure spaces (e.g., arcades, theaters, museums, and bowling alleys); state-owned casinos (subject to approval by the state health department); and in-person group exercise classes. The following businesses and activities remained closed: bars and nightclubs; outdoor and indoor large entertainment venues; fairs, festivals, carnivals, and parades; swimming pools; and summer camps. Phase 2 is set to last through June 7.
Kansas	2020/5/28	 On May 26, Gov. Laura Kelly (D) announced that the state would no longer implement its reopening plan, delegating that authority instead to county-level governments. Kelly said, "The power to administer and regulate the plan will be up to each county. If a county wants to remain [under restrictions], it will need to issue its own emergency order to that effect."
Kansas	2020/6/23	 Gov. Laura Kelly (D) recommended the state remain in Phase Three of the reopening plan due to an upward trend in positive cases. In late May, Kelly delegated reopening decision-making authority to local governments.
Kansas	2020/6/30	 On June 29, Gov. Laura Kelly (D) announced she would issue an executive order requiring most Kansans to wear face coverings in public spaces, effective 12:01 a.m. on July 3. Kelly said, "I know Kansans will have many questions about this order – and we will answer them when it is released later this week. But by announcing the requirement today, people in our state will have the appropriate time to acquire the masks."
Kansas	2020/7/7	 On July 6, Gov. Laura Kelly (D) announced that her administration was recommending most local communities remain in Phase 3 of the state's reopening plan. In Phase 3, communities are advised to limit gatherings to no more than 45 people. The recommendations are non-binding. Instead, local governments must administer and enforce reopening plans.
Kansas	2020/7/15	 The Kansas Board of Education voted 9-0 to approve guidelines for reopening schools for the 2020-2021 school year. Board members said that the guidelines were not mandates but were meant to help districts craft individual plans.
Kansas	2020/7/16	 Gov. Laura Kelly (D) announced on July 16 that she will sign an executive order delaying the start of the public school year until Sept. 9 and requiring districts to use masks. The state board of education will need to approve Kelly’s decision to delay the start of school.
Kansas	2020/7/21	 Gov. Laura Kelly (D) signed an executive order delaying the start of the public school year until Sept. 9 and requiring students, faculty, and visitors to wear face coverings in school buildings.
Kansas	2020/7/22	 The Kansas State Board of Education voted 5-5 on Gov. Laura Kelly’s (D) executive order delaying the start of the public school year from August 10 until Sept. 9. The order required board approval before taking effect, so the tie vote effectively cancels the governor’s executive order.
Kansas	2020/8/12	 The Kansas Department of Education released updated recommendations for returning to in-person education. The document breaks the recommendations into color levels—green, yellow, orange, and red—based on criteria such as the number of students missing school, number of new cases, and local hospital capacity. There are separate recommendations for Pre-K through grade 5 and grades 6 through 12 at the yellow and orange levels.
Kansas	2020/10/6	 The Kansas Department of Education announced 10 more counties moved into the red zone (remote instruction only) for school reopenings.
Kansas	2020/11/19	 Gov. Laura Kelly (R) issued an updated public mask order that gives localities a week to develop face-covering requirements. In areas where local governments do not develop mask requirements, the state’s order will take effect on Nov. 25. Under a bill passed earlier in the year, counties can still fully opt out of Kelly’s order.
Kansas	2021/1/8	 Gov. Laura Kelly (D) announced a finalized vaccine distribution order for the state. Healthcare workers and long-term care residents and staff are being vaccinated in Phase 1 (the current phase). In Phase 2, the vaccine will be available to individuals over the age of 65, high-contact essential workers (including police officers, grocery store workers, and school staff), and congregate care workers and residents (including in prisons and homeless shelters). Phase 3 will include individuals with state-defined high-risk pre-existing conditions (including cancer, chronic kidney disease, and type 2 diabetes) and other essential workers who cannot work remotely. Phase 4 will include individuals with state-defined lower-risk pre-existing conditions (including asthma, type 1 diabetes, and obesity). Phase 5 will include the remaining population.
Kansas	2021/1/21	 The state is starting Phase 2 of its vaccine distribution plan Jan. 21. Individuals over the age of 65, high-contact essential workers (including police officers, grocery store workers, and school staff), and congregate care workers and residents (including in prisons and homeless shelters) are all eligible to receive the vaccine. The state also released a vaccine dashboard on Jan. 20.
Kansas	2021/1/26	 Gov. Laura Kelly (D) signed Senate Bill 14 to extend the state’s coronavirus emergency declaration through March 31.
Kansas	2021/2/4	 Gov. Laura Kelly (D) announced the launch of the Find My Vaccine mapping tool to help residents locate vaccine providers near them.
Kansas	2021/3/16	 Gov. Laura Kelly (D) announced the state will open vaccinations to all individuals in phases 3 and 4 of the plan starting March 22. Anyone between the ages of 16 and 64 with an increased risk of severe complications from underlying conditions will become eligible for vaccines.
Kansas	2021/3/22	 The state is opening vaccinations to all individuals in phases 3 and 4 of the plan starting March 22. Anyone between the ages of 16 and 64 with an increased risk of severe complications from underlying conditions is eligible for a vaccine.
Kansas	2021/3/25	 Gov. Laura Kelly (D) signed SB 40 on March 24. The bill extends Kansas’ coronavirus emergency through May 28 but ends all executive orders related to the pandemic on March 31. Kelly said she will reissue most of the orders, including the state’s mask mandate. Under the new law, the state legislature can end executive orders during a legislative session, including the orders Kelly plans to reissue. Senate President Ty Masterson (R) said, “should the governor issue any new executive order which imposes an undue burden on the people of Kansas, including an unnecessary new mask mandate, rest assured the Senate will take immediate action once we receive the order.”
Kansas	2021/3/29	 All residents 16 and older are eligible to receive a coronavirus vaccine March 29.
Kansas	2021/4/5	 On Thursday, April 1, the Legislative Coordinating Council (LLC) voted 5-2 (with one absence) to end Gov. Laura Kelly’s (D) statewide mask mandate. The LLC is a committee composed of eight legislators. Senate Bill 40, signed by Kelly on March 24, allows the LLC to vote to end COVID-19 executive orders. The LLC’s decision does not affect local mask mandates.
Kansas	2021/4/6	 On April 5, Gov. Laura Kelly (D) signed SB 63, requiring all public school districts to offer full-time, in-person instruction effective immediately. The law applies to grades K-12.
Kansas	2021/5/12	 Gov. Laura Kelly (D) announced all state government offices will return to in-person operations starting June 13. Masks will still be required in state buildings.
Kansas	2021/6/2	 On June 1, Gov. Laura Kelly (D) announced a vaccination incentive program called The Race to End COVID-19. Individuals who receive a COVID-19 test or vaccination from the University of Kansas Health System or the Kansas Department of Health and Environment are entered into a raffle to win tickets to the NASCAR Cup Series Race, gift cards for the NASCAR Racing Experience Ride Along, and the opportunity to drive two laps around the Kansas Speedway. The event will be held on June 4 and 5.
Kansas	2021/6/14	 All state government offices will return to in-person operations starting June 13. Masks will still be required in state buildings.
Kansas	2021/6/16	 The state’s coronavirus emergency order expired June 15 after Senate President Ty Masterson (R) canceled a meeting of the Legislative Coordinating Council (LCC) to consider an extension of the emergency. Under Kansas law, the LCC has to extend an emergency order every 30 days to prevent it from expiring. Gov. Laura Kelly (D) issued the emergency order on March 12, 2020.
Kentucky	2020/4/27	 Gov. Andy Beshear (D) released benchmarks that, if met, would trigger the state to begin a phased reopening of businesses. Benchmarks include: 14 days of decreasing cases, increased testing capacity and contact tracing, personal protective equipment availability, ability to protect at-risk populations, ability to social distance and follow the CDC's guidelines on large gatherings, preparedness for a possible future spike, and status of vaccine and treatment. Kentucky is under divided government, with a Democratic governor and Republican majorities in both chambers of the state legislature.
Kentucky	2020/5/7	 Kentucky Department for Public Health (KDPH) Commissioner Dr. Steven Stack announced that effective May 6, the following types of medical procedures could resume: outpatient gastrointestinal, radiology, diagnostic non-urgent cardiac, outpatient orthopedic, outpatient ophthalmological, outpatient ENT, and outpatient dental procedures.
Kentucky	2020/5/8	 On Thursday, Gov. Andy Beshear (D) outlined the second phase of Kentucky's "Healthy at Work" plan. Effective May 22, restaurants will be permitted to resume at 33% capacity, plus outdoor seating. Effective June 1, movie theaters and fitness centers can reopen. Effective June 11, public and private campgrounds will be allowed to reopen. Effective June 15, child-care facilities, subject to capacity restrictions, can reopen. Beshear said the third reopening phase would likely begin July 1. As with the first phase of reopening, each new phase is subject to several criteria, outlined here.
Kentucky	2020/5/11	 Phase 1 of Gov. Andy Beshear's (D) plan takes effect today. It includes reopening manufacturing, construction, vehicle or vessel dealerships, office-based businesses (at 50% capacity), horse racing (without spectators), and dog grooming and boarding services.
